system_public,system,n,m,best_optimized_gain,median_optimized_gain,optimized_gain_q1,optimized_gain_q3,optimized_gain_iqr,analytic_construction_gain,analytic_construction_kind,best_available_upper_bound,best_solution_source,theoretical_L1_threshold,optimized_L1_feasible,analytic_L1_feasible,best_available_L1_feasible,oracle_mse_at_L1_monotone_profile,oracle_selected_source_m,oracle_selected_seed,oracle_selected_hard_gain,oracle_selected_run_type,oracle_selected_init_kind,oracle_mse_at_L1_for_best_optimized_seed,oracle_best_optimized_seed,oracle_best_optimized_hard_gain,num_valid_restarts
Adjacent pair actions,AdjacentSwap,10,6,1.13514167654474,1.15077192003552,1.14499799899694,1.1617611396422,0.0167631406452581,,,1.13514167654474,optimized,9,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,10,7,1.07716731424136,1.07718160371683,1.07717689099236,1.07719197132219,1.50803298297753e-05,,,1.07716731424136,optimized,9,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,10,8,1.03402128648594,1.04793091458645,1.03460197115682,1.06165638584185,0.0270544146850244,,,1.03402128648594,optimized,9,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,10,9,1.00000000004638,1.00000000059503,1.00000000033994,1.0000000007682,4.28253876805229e-10,1,regular_simplex,1,analytic,9,True,True,True,,,,,,,,,,10
All-pair actions,AllSwap,4,1,2.6187703446452,2.61932672610296,2.6190684813882,2.61948899686134,0.0004205154731344,3,grid,2.6187703446452,optimized,3,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,4,2,1.41421356258912,1.414213563058,1.41421356282922,1.73205080806274,0.317837245233518,1.4142135623731,grid,1.4142135623731,analytic,3,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,4,3,1.0000000002096,1.00000000055461,1.00000000037928,1.00000000070904,3.29755778238905e-10,1,regular_simplex,1,analytic,3,True,True,True,,,,,,,,,,10
All-pair actions,AllSwap,6,1,4.08156186323399,4.08370634460412,4.08344759380619,4.08527168100907,0.0018240872028778,5,grid,4.08156186323399,optimized,5,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,6,2,1.90211303261596,1.90211303316161,1.90211303279867,1.90211303329877,5.00105068468315e-10,2.23606797749979,grid,1.90211303261596,optimized,5,False,False,False,,,,,,,,,,10
All-pair actions,AllSwap,6,3,1.41421356238303,1.41421356272112,1.4142135625284,1.41421356318858,6.60178578471005e-10,1.73205080756888,grid,1.41421356238303,optimized,5,False,False,False,,,,,,,,,,10
