system,n,source_m,run_type,init_kind,seed,exact_hard_required_gain,gain_budget_L,oracle_mse_at_L1,oracle_num_actions,oracle_max_constraint_violation
Adjacent pair actions,8,7,random optimization,random_gaussian,7,1.00000000067662,1,4.65886947845166e-20,7,2.22044604925031e-16
Adjacent pair actions,8,7,random optimization,random_gaussian,8,1.00000000045903,1,1.75564606517652e-20,7,0
Adjacent pair actions,8,7,random optimization,random_gaussian,9,1.00000000005505,1,0,7,0
Adjacent pair actions,8,7,analytic construction,regular_simplex,,1,1,0,7,0
All-pair actions,8,1,random optimization,random_gaussian,0,5.53585232072906,1,2.21365670410799,28,1.05870867628255e-12
All-pair actions,8,1,random optimization,random_gaussian,1,5.5358523213185,1,2.21365670536461,28,1.05937481009732e-12
All-pair actions,8,1,random optimization,random_gaussian,2,5.53585232056866,1,2.21365670412876,28,1.05848663167762e-12
All-pair actions,8,1,random optimization,random_gaussian,3,5.53585232120819,1,2.21365670523304,28,1.05870867628255e-12
All-pair actions,8,1,random optimization,random_gaussian,4,5.53585232074103,1,2.21365670389897,28,1.05870867628255e-12
All-pair actions,8,1,random optimization,random_gaussian,5,5.53585232097951,1,2.21365670330291,28,1.05870867628255e-12
All-pair actions,8,1,random optimization,random_gaussian,6,5.53585232106258,1,2.21365670395729,28,1.05870867628255e-12
All-pair actions,8,1,random optimization,random_gaussian,7,5.53585232098752,1,2.21365670627119,28,1.05870867628255e-12
All-pair actions,8,1,random optimization,random_gaussian,8,5.53585232109744,1,2.21365670610439,28,1.05870867628255e-12
All-pair actions,8,1,random optimization,random_gaussian,9,5.53585232058418,1,2.2136567033885,28,1.05870867628255e-12
All-pair actions,8,2,random optimization,random_gaussian,0,2.32663800569717,1,0.269004107125352,28,1.14290799047012e-11
All-pair actions,8,2,random optimization,random_gaussian,1,2.32709776309107,1,0.269498333952512,28,1.61413105104202e-11
All-pair actions,8,2,random optimization,random_gaussian,2,2.32708832577198,1,0.268892965658061,28,1.12478915070824e-11
All-pair actions,8,2,random optimization,random_gaussian,3,2.32712522129711,1,0.266790048115067,28,1.2815970507063e-11
All-pair actions,8,2,random optimization,random_gaussian,4,2.32723225193215,1,0.268500236644419,28,1.11672893154946e-11
